R0000100,R0536300,R0536401,R0536402,R1235800,T8122500,R1482600,S3659000,S3681000,S3697000,S3713000,S3729000,S3757000,S5041700,S6783100,S8689700,T1109400,T3186900,T4597800,T6231000,T7732100,T9133500
PUBID_1997,KEY!SEX_1997,KEY!BDATE_M_1997,KEY!BDATE_Y_1997,CV_SAMPLE_TYPE_1997,VERSION_R16_2013,KEY!RACE_ETHNICITY_1997,YEMP_OCCODE_2002_01_1997,YEMP_OCCODE_2002_01_1998,YEMP_OCCODE_2002_01_1999,YEMP_OCCODE_2002_01_2000,YEMP_OCCODE_2002_01_2001,YEMP_OCCODE_2002_01_2003,YEMP_OCCODE_2002_01_2004,YEMP_OCCODE_2002_01_2005,YEMP_OCCODE_2002_01_2006,YEMP_OCCODE_2002_01_2007,YEMP_OCCODE_2002_01_2008,YEMP_OCCODE_2002_01_2009,YEMP_OCCODE_2002_01_2010,YEMP_OCCODE_2002_01_2011,YEMP_OCCODE_2002_01_2013
1687,1,11,1980,1,429,4,8300,9610,9610,9610,9600,4110,-4,3130,3130,3130,3130,3130,3130,3130,3130
1688,1,7,1983,1,429,4,-4,-4,-4,-4,5240,9600,9600,9840,3650,3650,3650,-5,-4,-4,9620
1689,2,3,1984,1,429,4,-4,-4,-4,8740,4110,2300,2300,-4,-4,-4,-4,4110,7750,-4,4110
1690,2,12,1983,1,429,4,-4,-4,-4,4110,4050,4010,4010,-4,-4,4720,4010,4010,4010,4010,4010
1691,2,12,1983,1,429,4,-4,-4,4430,4110,4050,-4,-4,4110,4720,4050,4010,4010,4010,4010,310
1692,1,9,1981,1,429,4,4220,4010,-4,-4,5400,4810,4810,4810,4810,430,430,430,430,430,430
1693,1,10,1984,1,-5,4,-4,-4,-4,-4,9620,6320,7620,7750,6230,6260,6260,6260,6260,7340,-5
1694,1,5,1982,1,429,4,5610,-5,-5,-5,-5,4810,4810,4810,4810,4810,4810,4810,4810,4810,4810
1695,1,11,1984,1,429,4,-4,-5,-5,-5,-5,-5,7010,-4,840,1810,2310,2310,2310,2310,2200
1696,1,5,1983,1,-5,4,-4,-4,9620,4720,6710,-3,-3,6320,6230,6230,6230,6230,7410,-5,-5
1697,2,4,1984,1,429,4,-4,-5,-5,-5,-5,-5,-5,-5,2340,2310,2310,-5,2310,2310,2300
1698,2,11,1980,1,429,4,950,950,5700,-4,4760,4760,950,950,950,-5,-5,-5,-5,-5,1040
1699,1,8,1982,1,-5,4,-4,-5,4060,4250,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1700,1,8,1982,1,-5,4,-4,9620,3650,3650,3650,3650,4110,-5,4010,4010,4010,4010,4010,4010,-5
1701,1,5,1984,1,429,4,-4,-4,-4,-4,9620,9130,9130,9130,4700,4700,4700,4700,4700,4700,4960
