A0002500,R0000100,R0214700,R0214800,R0828000,R0945300,R1255700,R1650500,R1923100,R2317900,R2525700,R2924700,R3127400,R3523100,R3728100,R4193700,R4587901,R5270900,R6473700,R6592900
VERSION_R25_2012,CASEID_1979,SAMPLE_RACE_78SCRN,SAMPLE_SEX_1979,CPSOCC80_1982,CPSOCC80_1983,CPSOCC80_1984,CPSOCC80_1985,CPSOCC80_1986,CPSOCC80_1987,CPSOCC80_1988,CPSOCC80_1989,CPSOCC80_1990,CPSOCC80_1991,CPSOCC80_1992,CPSOCC80_1993,CPSOCC80_1994,CPSOCC80_1996,CPSOCC80_1998,CPSOCC80_01_2000
445,2942,2,2,356,345,356,-4,-4,357,389,319,379,379,379,379,379,389,-5,389
445,2943,3,2,276,-4,447,276,313,274,264,259,542,264,259,259,259,276,13,-5
445,2944,2,1,435,785,55,55,225,235,869,633,785,785,364,633,889,486,889,683
445,2945,3,1,437,437,433,437,437,437,436,436,436,436,436,436,433,436,436,19
445,2946,3,2,444,435,435,444,313,229,253,253,-3,253,326,23,23,23,23,23
445,2947,3,2,274,274,19,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,2948,3,2,313,-4,-4,-4,-4,274,276,274,276,276,276,877,877,156,387,156
445,2949,3,2,174,174,174,19,243,243,276,264,276,276,275,264,264,243,-4,-4
445,2950,3,1,453,424,435,785,687,437,436,436,436,436,436,436,436,19,436,19
445,2951,2,1,777,364,883,756,856,887,426,364,364,804,426,426,804,804,804,-5
445,2952,3,2,315,313,315,315,314,313,313,319,313,313,313,315,-3,313,27,19
445,2953,3,1,885,658,567,534,653,217,534,653,653,558,653,736,633,633,19,243
445,2954,3,1,885,885,805,785,55,55,19,523,19,19,19,-4,-5,-5,-5,-5
445,2955,3,2,389,23,23,23,23,23,337,363,23,178,23,7,19,274,19,19
445,2956,3,1,436,55,435,435,435,433,19,243,254,257,255,274,-3,254,34,34
445,2957,3,1,264,579,889,657,567,435,459,567,19,558,567,19,567,567,19,19
445,2958,3,1,444,437,437,424,357,437,375,36,36,23,418,418,418,418,418,418
445,2959,3,2,223,223,447,447,435,447,-4,84,84,84,84,84,84,84,84,84
445,2960,3,1,777,329,439,453,889,437,785,888,889,785,453,453,438,805,444,-5
445,2961,3,2,159,156,159,156,156,156,156,156,156,156,156,156,156,156,156,156
445,2962,3,1,436,889,19,56,59,229,308,525,64,19,19,19,19,17,19,19
